network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
ER+ER,1000,3.6,4,260,261,198,199,459,435,387,1.4305555555555556,0.5381922721862793,0.04110312461853027
ER+ER,1000,3.6,5,260,261,189,190,450,438,387,1.253968253968254,0.5446314811706543,0.03930306434631348
ER+ER,1000,3.6,6,260,261,188,189,449,436,387,1.3709677419354838,0.5653486251831055,0.0361323356628418
ER+ER,1000,3.6,7,260,261,185,186,446,435,387,1.3559322033898304,0.5498416423797607,0.03546714782714844
ER+ER,1000,3.6,8,260,261,196,197,457,440,387,1.2857142857142858,0.5426113605499268,0.035831451416015625
ER+ER,1000,3.6,9,260,261,178,179,439,436,387,1.3076923076923077,0.5352823734283447,0.03298211097717285
ER+ER,1000,3.7,0,259,250,190,181,440,432,386,1.1851851851851851,0.5273456573486328,0.03314042091369629
ER+ER,1000,3.7,1,259,250,191,182,441,434,386,1.1818181818181819,0.5218236446380615,0.03342771530151367
ER+ER,1000,3.7,2,259,250,195,186,445,433,386,1.3220338983050848,0.5264253616333008,0.03783392906188965
ER+ER,1000,3.7,3,259,250,197,188,447,434,386,1.1475409836065573,0.5171749591827393,0.03405022621154785
ER+ER,1000,3.7,4,259,250,198,189,448,428,386,1.1935483870967742,0.5113382339477539,0.03480982780456543
ER+ER,1000,3.7,5,259,250,197,188,447,431,386,1.2622950819672132,0.5216410160064697,0.0364990234375
ER+ER,1000,3.7,6,259,250,192,183,442,435,386,1.3214285714285714,0.5202376842498779,0.03715777397155762
